Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Asset-class_Australian_Shares_Index_Superannuation,Equity,Amcor,,AMC AU,41561838.0,0.52,Listed,ART,0.5163841974293739
Asset-class_Australian_Shares_Index_Superannuation,Equity,Lottery,,TLC AU,38969777.0,0.48,Listed,ART,0.4841791890952146
Asset-class_Australian_Shares_Index_Superannuation,Equity,Rea,,REA AU,38952693.0,0.48,Listed,ART,0.48396692929022517
Asset-class_Australian_Shares_Index_Superannuation,Equity,South32,,S32 AU,38925581.0,0.48,Listed,ART,0.48363007680644654
Asset-class_Australian_Shares_Index_Superannuation,Equity,Jb Hi-Fi,,JBH AU,38710636.0,0.48,Listed,ART,0.4809594970954035
Asset-class_Australian_Shares_Index_Superannuation,Equity,Newmont,,NEM AU,34144131.0,0.42,Listed,ART,0.42422305008162553
Asset-class_Australian_Shares_Index_Superannuation,Equity,Sgh,,SGH AU,34098875.0,0.42,Listed,ART,0.4236607678447604
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nextdc,,NXT AU,30559648.0,0.38,Listed,ART,0.3796877151151057
Asset-class_Australian_Shares_Index_Superannuation,Equity,Orica,,ORI AU,29516584.0,0.37,Listed,ART,0.36672818800017215
Asset-class_Australian_Shares_Index_Superannuation,Equity,Bluescope Steel,,BSL AU,28253679.0,0.35,Listed,ART,0.3510372509233628
Asset-class_Australian_Shares_Index_Superannuation,Equity,Seek,,SEK AU,27190285.0,0.34,Listed,ART,0.33782513414351273
Asset-class_Australian_Shares_Index_Superannuation,Equity,Als,,ALQ AU,27095790.0,0.34,Listed,ART,0.3366510829685842
Asset-class_Australian_Shares_Index_Superannuation,Equity,Bendigo & Adelaide Bank,,BEN AU,26760814.0,0.33,Listed,ART,0.3324891805782688
Asset-class_Australian_Shares_Index_Superannuation,Equity,Hub24,,HUB AU,26055461.0,0.32,Listed,ART,0.32372553680463684
Asset-class_Australian_Shares_Index_Superannuation,Equity,Lynas Rare Earths,,LYC AU,25623457.0,0.32,Listed,ART,0.31835811203323283
Asset-class_Australian_Shares_Index_Superannuation,Equity,Ampol,,ALD AU,23747059.0,0.3,Listed,ART,0.2950448438546676
Asset-class_Australian_Shares_Index_Superannuation,Equity,Ramsay Health Care,,RHC AU,23209551.0,0.29,Listed,ART,0.2883665868153166
Asset-class_Australian_Shares_Index_Superannuation,Equity,Qube,,QUB AU,22030828.0,0.27,Listed,ART,0.2737215672580356
Asset-class_Australian_Shares_Index_Superannuation,Equity,Steadfast,,SDF AU,21634568.0,0.27,Listed,ART,0.2687982430760453
Asset-class_Australian_Shares_Index_Superannuation,Equity,Treasury Wine Estates,,TWE AU,20401931.0,0.25,Listed,ART,0.25348337013980143
Asset-class_Australian_Shares_Index_Superannuation,Equity,Bank Of Queensland,,BOQ AU,20296939.0,0.25,Listed,ART,0.25217889920527475
Asset-class_Australian_Shares_Index_Superannuation,Equity,Worley,,WOR AU,19913788.0,0.25,Listed,ART,0.24741844752291026
Asset-class_Australian_Shares_Index_Superannuation,Equity,Endeavour,,EDV AU,19760455.0,0.25,Listed,ART,0.2455133648327646
Asset-class_Australian_Shares_Index_Superannuation,Equity,Fisher & Paykel Healthcare,,FPH AU,19544902.0,0.24,Listed,ART,0.24283523103828483
Asset-class_Australian_Shares_Index_Superannuation,Equity,Telix Pharmaceuticals,,TLX AU,19471699.0,0.24,Listed,ART,0.24192572187739492
Asset-class_Australian_Shares_Index_Superannuation,Equity,Cleanaway Waste Management,,CWY AU,19386857.0,0.24,Listed,ART,0.2408716042015043
