Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Lifecycle_High_Growth_Pool_Superannuation,Equity,Yokowo,,6800 JP,49096.0,0.0,Listed,ART,7.15881515154466e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Selective Insurance,,SIGI US,49082.0,0.0,Listed,ART,7.156773775218245e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Hyundai Engineering & Construction,,000720 KS,48954.0,0.0,Listed,ART,7.138109763091031e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Al Rayan Bank,,MARK QD,48892.0,0.0,Listed,ART,7.129069382216911e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Credit Bureau Asia,,CBA SP,48826.0,0.0,Listed,ART,7.119445750963818e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Sumber Alfaria Trijaya Tbk Pt,,AMRT IJ,48732.0,0.0,Listed,ART,7.105739367057894e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Torrent Power,,TPW IN,48528.0,0.0,Listed,ART,7.075993597730146e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Helios Technologies,,HLIO US,48130.0,0.0,Listed,ART,7.017960185022089e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Allfunds,,ALLFG NA,47932.0,0.0,Listed,ART,6.989089291262804e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Kforce,,KFRC US,47903.0,0.0,Listed,ART,6.984860726015232e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Aekyung Industrial,,018250 KS,47731.0,0.0,Listed,ART,6.959780959719288e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Berry,,BRY US,47467.0,0.0,Listed,ART,6.921286434706908e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Seazen,,1030 HK,47261.0,0.0,Listed,ART,6.891249040189672e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Hysan Development,,14 HK,47103.0,0.0,Listed,ART,6.868210650220142e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Tbs,,9401 JP,47080.0,0.0,Listed,ART,6.864856960541034e-05
