Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
High Growth,Cash,National Australia Bank Ltd,Australia Dollar,,23006809.0,0.05,,,AustralianSuper,0.053038372298540616
High Growth,Cash,National Australia Bank Ltd,United Kingdom Pound,,1335428.0,0.0,,,AustralianSuper,0.0030786071828516294
High Growth,Cash,National Australia Bank Ltd,United States Dollar,,24356587.0,0.06,,,AustralianSuper,0.05615006102010038
High Growth,Cash,Royal Bank of Canada,Australia Dollar,,-2446656.0,-0.01,,,AustralianSuper,-0.005640358548395747
High Growth,Cash,Royal Bank of Canada,United Kingdom Pound,,704135.0,0.0,,,AustralianSuper,0.0016232661504006446
High Growth,Cash,Royal Bank of Canada,United States Dollar,,29977338.0,0.07,,,AustralianSuper,0.06910776776402103
High Growth,Cash,Royal Bank of Canada/Sydney,Australia Dollar,,75309573.0,0.18,,,AustralianSuper,0.1736136971632234
High Growth,Cash,Skandinaviska Enskilda Banken AB,Euro Member Countries,,883021.0,0.0,,,AustralianSuper,0.0020356580760691164
High Growth,Cash,Skandinaviska Enskilda Banken AB,Norway Krone,,92055.0,0.0,,,AustralianSuper,0.00021221749447922816
High Growth,Cash,Skandinaviska Enskilda Banken AB,Sweden Krona,,-154.0,0.0,,,AustralianSuper,-3.5502139101408005e-07
High Growth,Cash,Skandinaviska Enskilda Banken AB,United States Dollar,,11325813.0,0.03,,,AustralianSuper,0.026109778478086692
High Growth,Cash,Societe Generale SA,Australia Dollar,,-2228460.0,-0.01,,,AustralianSuper,-0.005137343954670369
High Growth,Cash,Standard Chartered Bank,Australia Dollar,,132084.0,0.0,,,AustralianSuper,0.00030449769747210224
High Growth,Cash,Standard Chartered Bank,Euro Member Countries,,2009326.0,0.0,,,AustralianSuper,0.004632166957926996
High Growth,Cash,Standard Chartered Bank,United Kingdom Pound,,789117.0,0.0,,,AustralianSuper,0.0018191780195640117
High Growth,Cash,State Street Bank and Trust Co,Australia Dollar,,1035.0,0.0,,,AustralianSuper,2.3860203876595634e-06
High Growth,Cash,Sumitomo Mitsui Banking Corp/Sydney,Australia Dollar,,24969580.0,0.06,,,AustralianSuper,0.057563214445697085
High Growth,Cash,Toronto-Dominion Bank/The,Australia Dollar,,-135032.0,0.0,,,AustralianSuper,-0.0003112938212429432
High Growth,Cash,UBS AG,Australia Dollar,,1148036.0,0.0,,,AustralianSuper,0.0026466060886638984
High Growth,Cash,Westpac Banking Corp,Australia Dollar,,-9834905.0,-0.02,,,AustralianSuper,-0.022672738010333315
High Growth,Fixed Income,ACM Auto Trust 2024-2,,,479760.0,0.0,,,AustralianSuper,0.0011060068996942534
High Growth,Fixed Income,ACM Auto Trust 2025-1,,,134013.0,0.0,,,AustralianSuper,0.0003089446861946098
High Growth,Fixed Income,Asimi Funding 2024-1 PLC,,,84862.0,0.0,,,AustralianSuper,0.00019563522911842117
High Growth,Fixed Income,Bridge 2024-SFR1 Trust,,,77850.0,0.0,,,AustralianSuper,0.0001794702291587411
High Growth,Fixed Income,Firstmac Asset Funding Trust No. 1 Series Auto No. 2,,,54794.0,0.0,,,AustralianSuper,0.00012631845518977597
High Growth,Fixed Income,Flexicommercial Abs Trust 2023-1,,,62832.0,0.0,,,AustralianSuper,0.00014484872753374467
High Growth,Fixed Income,FP Turbo Series 2023-1 Trust,,,172349.0,0.0,,,AustralianSuper,0.00039732195922003686
High Growth,Fixed Income,Handy ABS 2024-1 Trust,,,43120.0,0.0,,,AustralianSuper,9.94059894839424e-05
High Growth,Fixed Income,Household Capital 2025-1 RMBS,,,199133.0,0.0,,,AustralianSuper,0.0004590680172519922
High Growth,Fixed Income,Judo Capital Markets Trust 2023-1,,,363491.0,0.0,,,AustralianSuper,0.000837968054812331
High Growth,Fixed Income,Metro Finance 2023-2 Trust,,,277232.0,0.0,,,AustralianSuper,0.0006391122745039963
High Growth,Fixed Income,Navigator 2024-1 Aviation Ltd,,,136882.0,0.0,,,AustralianSuper,0.00031555868860252793
High Growth,Fixed Income,Pagaya AI Technology in Housing Trust 2023-1,,,13724.0,0.0,,,AustralianSuper,3.163839980699503e-05
High Growth,Fixed Income,Panorama Auto Trust 2023-3,,,230094.0,0.0,,,AustralianSuper,0.0005304434541817775
High Growth,Fixed Income,Panorama Auto Trust 2024-1,,,214765.0,0.0,,,AustralianSuper,0.0004951049937736292
High Growth,Fixed Income,Perpetual Corporate Trust Ltd,,,114469.0,0.0,,,AustralianSuper,0.000263889244207732
High Growth,Fixed Income,Prodigy Finance CM2021-1 DAC,,,14114.0,0.0,,,AustralianSuper,3.253747995306965e-05
High Growth,Fixed Income,ReadyCap Lending Small Business Loan Trust 2023-3,,,93500.0,0.0,,,AustralianSuper,0.00021554870168712003
High Growth,Fixed Income,SLM Student Loan Trust 2004-10,,,292526.0,0.0,,,AustralianSuper,0.0006743700482323686
High Growth,Fixed Income,Small Business Origination Loan Trust 2024-1 DAC,,,88936.0,0.0,,,AustralianSuper,0.0002050271586443391
High Growth,Fixed Income,STAR 2025-SFR5 Trust,,,407225.0,0.0,,,AustralianSuper,0.0009387895191929139
High Growth,Fixed Income,Taurus 2023-1 Trust,,,182010.0,0.0,,,AustralianSuper,0.0004195937881719007
High Growth,Fixed Income,Taurus 2024-1PP Trust,,,254626.0,0.0,,,AustralianSuper,0.0005869979007035788
High Growth,Fixed Income,Trustee For Angle Asset Finance - Radian Trust 2023-3/The,,,92106.0,0.0,,,AustralianSuper,0.00021233506649833024
High Growth,Fixed Income,United Airlines 2020-1 Class A Pass Through Trust,,,72226.0,0.0,,,AustralianSuper,0.00016650503238560354
High Growth,Fixed Income,Vantage Data Centers Jersey Borrower Spv Ltd,,,222965.0,0.0,,,AustralianSuper,0.0005140087301782751
High Growth,Fixed Income,VINE 2023-SFR1 Trust,,,296996.0,0.0,,,AustralianSuper,0.0006846748899066085
High Growth,Fixed Income,Wisr Freedom Trust Series 2023-1,,,395505.0,0.0,,,AustralianSuper,0.0009117710081365176
High Growth,Fixed Income,Zip Master Trust Series 2024-2,,,144661.0,0.0,,,AustralianSuper,0.0003334918795161548
High Growth,Fixed Income,3M Co,,,45039.0,0.0,,,AustralianSuper,0.0001038299248693711
High Growth,Fixed Income,ABB Finance BV,,,33503.0,0.0,,,AustralianSuper,7.723559521522547e-05
High Growth,Fixed Income,Abbott Ireland Financing DAC,,,49401.0,0.0,,,AustralianSuper,0.00011388579050315952
High Growth,Fixed Income,Abbott Laboratories,,,83631.0,0.0,,,AustralianSuper,0.00019279736332401638
High Growth,Fixed Income,AbbVie Inc,,,335808.0,0.0,,,AustralianSuper,0.0007741495017769883
High Growth,Fixed Income,Abertis France SAS,,,43851.0,0.0,,,AustralianSuper,0.00010109118842440535
High Growth,Fixed Income,Abertis Infraestructuras SA,,,46321.0,0.0,,,AustralianSuper,0.00010678536268287793
High Growth,Fixed Income,ABN AMRO Bank NV,,,144095.0,0.0,,,AustralianSuper,0.0003321870606374926
High Growth,Fixed Income,Accor Sa,,,24064.0,0.0,,,AustralianSuper,5.547555034651183e-05
High Growth,Fixed Income,Achmea BV,,,27224.0,0.0,,,AustralianSuper,6.276040486342412e-05
High Growth,Fixed Income,Adecco International Financial Services BV,,,24389.0,0.0,,,AustralianSuper,5.622478380157401e-05
High Growth,Fixed Income,Adidas Ag,,,21588.0,0.0,,,AustralianSuper,4.976754408579194e-05
High Growth,Fixed Income,Adobe Inc,,,30459.0,0.0,,,AustralianSuper,7.021815940842769e-05
High Growth,Fixed Income,Advanced Micro Devices Inc,,,12341.0,0.0,,,AustralianSuper,2.8450123288991955e-05
High Growth,Fixed Income,AEP Texas Inc,,,59739.0,0.0,,,AustralianSuper,0.00013771833037526054
High Growth,Fixed Income,AEP Transmission Co LLC,,,57459.0,0.0,,,AustralianSuper,0.00013246216952128586
High Growth,Fixed Income,AerCap Ireland Capital DAC / AerCap Global Aviation Trust,,,173655.0,0.0,,,AustralianSuper,0.0004003327250425329
High Growth,Fixed Income,AES Corp/The,,,30237.0,0.0,,,AustralianSuper,6.970637532527752e-05
High Growth,Fixed Income,Agree LP,,,4501.0,0.0,,,AustralianSuper,1.0376307019184248e-05
High Growth,Fixed Income,Aib Group Plc,,,37870.0,0.0,,,AustralianSuper,8.730298751755331e-05
High Growth,Fixed Income,Air Lease Corp,,,117692.0,0.0,,,AustralianSuper,0.00027131933474824096
High Growth,Fixed Income,Air Liquide Finance SA,,,28015.0,0.0,,,AustralianSuper,6.458392382636007e-05
High Growth,Fixed Income,Air Products And Chemicals Inc,,,67980.0,0.0,,,AustralianSuper,0.0001567165854619296
High Growth,Fixed Income,Airbus Se,,,46406.0,0.0,,,AustralianSuper,0.00010698131604804803
High Growth,Fixed Income,Akzo Nobel NV,,,29167.0,0.0,,,AustralianSuper,6.723966825784202e-05
High Growth,Fixed Income,Alectra Inc,,,4401.0,0.0,,,AustralianSuper,1.0145773648395884e-05
High Growth,Fixed Income,Alexandria Real Estate Equities Inc,,,72432.0,0.0,,,AustralianSuper,0.00016697993112942756
High Growth,Fixed Income,Alimentation Couche-Tard Inc,,,28059.0,0.0,,,AustralianSuper,6.468535850950696e-05
High Growth,Fixed Income,Allianz Finance II BV,,,33393.0,0.0,,,AustralianSuper,7.698200850735827e-05
High Growth,Fixed Income,Allianz Se,,,86649.0,0.0,,,AustralianSuper,0.0001997548604544092
High Growth,Fixed Income,Ally Financial Inc,,,35548.0,0.0,,,AustralianSuper,8.19500026478475e-05
High Growth,Fixed Income,Alphabet Inc,,,109981.0,0.0,,,AustralianSuper,0.0002535429065267502
High Growth,Fixed Income,Alstom SA,,,26248.0,0.0,,,AustralianSuper,6.051039916452969e-05
