PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBGRO] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,GOLDMAN SACHS & CO. LLC,-,-,-,AUD,-,-,,,"-$713,211",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$762,963,086",3.17%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$805,996,994",3.35%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$265,146,006",1.10%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$204,198,468",0.85%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$130,112,905",0.54%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$118,677,544",0.49%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA GOVERNMENT,-,-,-,-,-,,,"$56,498,644",0.23%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$49,434,380",0.21%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$48,413,591",0.20%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$41,721,885",0.17%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$40,781,994",0.17%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$39,884,746",0.17%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$38,425,423",0.16%,
FIXED INCOME,INTERNALLY,-,FIRSTMAC MORTGAGE FUNDING TRUST,-,-,-,-,-,,,"$31,816,970",0.13%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$29,574,220",0.12%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$29,139,371",0.12%,
FIXED INCOME,INTERNALLY,-,SVENSKA HANDELSBANKEN AB,-,-,-,-,-,,,"$25,398,343",0.11%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$24,914,569",0.10%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$23,978,105",0.10%,
FIXED INCOME,INTERNALLY,-,WESTPAC SECURITISATION TRUST,-,-,-,-,-,,,"$23,523,955",0.10%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$21,825,650",0.09%,
FIXED INCOME,INTERNALLY,-,PUMA,-,-,-,-,-,,,"$20,430,522",0.08%,
FIXED INCOME,INTERNALLY,-,MACQUARIE BANK LTD.,-,-,-,-,-,,,"$19,473,064",0.08%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$19,258,148",0.08%,
FIXED INCOME,INTERNALLY,-,TOYOTA FINANCE AUSTRALIA LTD.,-,-,-,-,-,,,"$19,176,637",0.08%,
FIXED INCOME,INTERNALLY,-,MEDALLION TRUST,-,-,-,-,-,,,"$19,159,359",0.08%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$18,774,899",0.08%,
FIXED INCOME,INTERNALLY,-,REDS TRUST,-,-,-,-,-,,,"$17,889,863",0.07%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$17,575,471",0.07%,
FIXED INCOME,INTERNALLY,-,TRITON TRUST,-,-,-,-,-,,,"$16,585,224",0.07%,
FIXED INCOME,INTERNALLY,-,NEW SOUTH WALES TREASURY CORP.,-,-,-,-,-,,,"$16,111,314",0.07%,
FIXED INCOME,INTERNALLY,-,TREASURY CORP. OF VICTORIA,-,-,-,-,-,,,"$14,267,424",0.06%,
FIXED INCOME,INTERNALLY,-,APOLLO TRUST,-,-,-,-,-,,,"$14,235,427",0.06%,
FIXED INCOME,INTERNALLY,-,MA MONEY RESIDENTIAL SECURITISATION TRUST,-,-,-,-,-,,,"$13,307,777",0.06%,
FIXED INCOME,INTERNALLY,-,LION TRUST,-,-,-,-,-,,,"$13,213,140",0.05%,
FIXED INCOME,INTERNALLY,-,BNP PARIBAS SA,-,-,-,-,-,,,"$12,878,276",0.05%,
FIXED INCOME,INTERNALLY,-,IDOL TRUST,-,-,-,-,-,,,"$12,798,309",0.05%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$11,911,617",0.05%,
FIXED INCOME,INTERNALLY,-,QUEENSLAND TREASURY CORP.,-,-,-,-,-,,,"$11,858,637",0.05%,
FIXED INCOME,INTERNALLY,-,CONQUEST TRUST,-,-,-,-,-,,,"$11,799,564",0.05%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$10,580,532",0.04%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$10,326,508",0.04%,
FIXED INCOME,INTERNALLY,-,LIBERTY FUNDING PTY LIMITED,-,-,-,-,-,,,"$9,934,904",0.04%,
FIXED INCOME,INTERNALLY,-,LIGHT TRUST,-,-,-,-,-,,,"$9,913,705",0.04%,
FIXED INCOME,INTERNALLY,-,LENDLEASE FINANCE LTD.,-,-,-,-,-,,,"$9,498,619",0.04%,
FIXED INCOME,INTERNALLY,-,NATIONAL RMBS TRUST,-,-,-,-,-,,,"$9,450,550",0.04%,
FIXED INCOME,INTERNALLY,-,ING BANK AUSTRALIA LTD.,-,-,-,-,-,,,"$9,397,581",0.04%,
FIXED INCOME,INTERNALLY,-,BPCE SA,-,-,-,-,-,,,"$8,563,233",0.04%,
FIXED INCOME,INTERNALLY,-,TORRENS TRUST,-,-,-,-,-,,,"$7,587,450",0.03%,
FIXED INCOME,INTERNALLY,-,HARVEY TRUST,-,-,-,-,-,,,"$7,570,144",0.03%,
FIXED INCOME,INTERNALLY,-,ROYAL BANK OF CANADA,-,-,-,-,-,,,"$7,511,784",0.03%,
FIXED INCOME,INTERNALLY,-,RESIMAC,-,-,-,-,-,,,"$7,091,333",0.03%,
FIXED INCOME,INTERNALLY,-,AFG,-,-,-,-,-,,,"$5,758,712",0.02%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA,-,-,-,-,-,,,"$5,666,634",0.02%,
FIXED INCOME,INTERNALLY,-,PROGRESS TRUST,-,-,-,-,-,,,"$5,265,351",0.02%,
FIXED INCOME,INTERNALLY,-,"CPPIB CAPITAL, INC.",-,-,-,-,-,,,"$5,173,118",0.02%,
FIXED INCOME,INTERNALLY,-,SYDNEY AIRPORT FINANCE CO PTY LTD,-,-,-,-,-,,,"$4,669,853",0.02%,
FIXED INCOME,INTERNALLY,-,BANK OF MONTREAL,-,-,-,-,-,,,"$4,176,156",0.02%,
FIXED INCOME,INTERNALLY,-,SALUTE TRUST,-,-,-,-,-,,,"$4,076,477",0.02%,
FIXED INCOME,INTERNALLY,-,PANORAMA AUTO TRUST,-,-,-,-,-,,,"$3,895,797",0.02%,
FIXED INCOME,INTERNALLY,-,LLOYDS BANKING GROUP PLC,-,-,-,-,-,,,"$3,787,496",0.02%,
FIXED INCOME,INTERNALLY,-,WESTERN AUSTRALIAN TREASURY CORP.,-,-,-,-,-,,,"$3,707,858",0.02%,
FIXED INCOME,INTERNALLY,-,DBS GROUP HOLDINGS LTD.,-,-,-,-,-,,,"$3,291,039",0.01%,
FIXED INCOME,INTERNALLY,-,ILLAWARRA TRUST,-,-,-,-,-,,,"$3,168,985",0.01%,
