PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"146,457","$5,764,541",1.39%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"16,700","$5,590,742",1.35%,
LISTED EQUITY,-,-,-,-,CSL LTD.,-,CSL AU,-,,"23,172","$5,549,288",1.34%,
LISTED EQUITY,-,-,-,-,WESTPAC BANKING CORP.,-,WBC AU,-,,"163,868","$5,548,568",1.34%,
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"54,293","$4,601,341",1.11%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"3,831","$4,315,015",1.04%,
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"142,264","$4,148,405",1.00%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"17,307","$3,958,621",0.95%,
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"7,798","$3,280,238",0.79%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"10,224","$2,749,322",0.66%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"550,533","$2,664,578",0.64%,
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"5,054","$2,449,646",0.59%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"8,632","$2,336,689",0.56%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"4,864","$2,151,625",0.52%,
LISTED EQUITY,-,-,-,-,WOODSIDE ENERGY GROUP LTD.,-,WDS AU,-,,"91,046","$2,151,415",0.52%,
LISTED EQUITY,-,-,-,-,RIO TINTO LTD.,-,RIO AU,-,,"17,835","$1,910,703",0.46%,
LISTED EQUITY,-,-,-,-,WOOLWORTHS GROUP LTD.,-,WOW AU,-,,"58,458","$1,818,629",0.44%,
LISTED EQUITY,-,-,-,-,ARISTOCRAT LEISURE LTD.,-,ALL AU,-,,"26,942","$1,755,832",0.42%,
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"72,305","$1,691,214",0.41%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"1,401","$1,666,105",0.40%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"3,008","$1,629,560",0.39%,
LISTED EQUITY,-,-,-,-,BRAMBLES LTD.,-,BXB AU,-,,"65,840","$1,541,984",0.37%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,749,"$1,529,887",0.37%,
LISTED EQUITY,-,-,-,-,COLES GROUP LTD.,-,COL AU,-,,"64,501","$1,344,193",0.32%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"7,469","$1,343,076",0.32%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"1,457","$1,249,198",0.30%,
LISTED EQUITY,-,-,-,-,FORTESCUE LTD.,-,FMG AU,-,,"81,352","$1,243,054",0.30%,
LISTED EQUITY,-,-,-,-,NORTHERN STAR RESOURCES LTD.,-,NST AU,-,,"64,601","$1,198,348",0.29%,
LISTED EQUITY,-,-,-,-,COSTCO WHOLESALE CORP.,-,COST US,-,,771,"$1,164,305",0.28%,
LISTED EQUITY,-,-,-,-,JAMES HARDIE INDUSTRIES PLC,-,JHX AU,-,,"27,667","$1,153,717",0.28%,
LISTED EQUITY,-,-,-,-,"WALMART, INC.",-,WMT US,-,,"7,650","$1,141,318",0.27%,
LISTED EQUITY,-,-,-,-,SUNCORP GROUP LTD.,-,SUN AU,-,,"52,038","$1,124,533",0.27%,
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"27,810","$1,094,319",0.26%,
LISTED EQUITY,-,-,-,-,WISETECH GLOBAL LTD.,-,WTC AU,-,,"9,621","$1,048,992",0.25%,
LISTED EQUITY,-,-,-,-,INSURANCE AUSTRALIA GROUP LTD.,-,IAG AU,-,,"113,346","$1,023,510",0.25%,
LISTED EQUITY,-,-,-,-,COMPUTERSHARE LTD.,-,CPU AU,-,,"25,203","$1,005,333",0.24%,
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"4,078","$991,245",0.24%,
LISTED EQUITY,-,-,-,-,JOHNSON & JOHNSON,-,JNJ US,-,,"4,212","$981,588",0.24%,
LISTED EQUITY,-,-,-,-,ORACLE CORP.,-,ORCL US,-,,"2,936","$979,480",0.24%,
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"1,715","$959,568",0.23%,
LISTED EQUITY,-,-,-,-,COCHLEAR LTD.,-,COH AU,-,,"3,121","$937,514",0.23%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"12,801","$924,349",0.22%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"3,138","$888,688",0.21%,
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,688,"$835,271",0.20%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"1,785","$825,460",0.20%,
LISTED EQUITY,-,-,-,-,COCA-COLA CO.,-,KO US,-,,"7,411","$800,026",0.19%,
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"2,752","$784,681",0.19%,
LISTED EQUITY,-,-,-,-,"PALANTIR TECHNOLOGIES, INC.",-,PLTR US,-,,"3,751","$780,232",0.19%,
LISTED EQUITY,-,-,-,-,QANTAS AIRWAYS LTD.,-,QAN AU,-,,"72,569","$779,390",0.19%,
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"1,583","$753,476",0.18%,
LISTED EQUITY,-,-,-,-,INTERNATIONAL BUSINESS MACHINES CORP.,-,IBM US,-,,"1,646","$740,415",0.18%,
LISTED EQUITY,-,-,-,-,EVOLUTION MINING LTD.,-,EVN AU,-,,"94,874","$739,066",0.18%,
LISTED EQUITY,-,-,-,-,"CISCO SYSTEMS, INC.",-,CSCO US,-,,"6,931","$733,823",0.18%,
LISTED EQUITY,-,-,-,-,GENERAL ELECTRIC CO.,-,GE US,-,,"1,859","$730,323",0.18%,
LISTED EQUITY,-,-,-,-,WELLS FARGO & CO.,-,WFC US,-,,"5,790","$707,816",0.17%,
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"1,696","$705,614",0.17%,
LISTED EQUITY,-,-,-,-,NESTLE SA,-,NESN SW,-,,"4,575","$691,346",0.17%,
LISTED EQUITY,-,-,-,-,CAR GROUP LTD.,-,CAR AU,-,,"18,035","$674,871",0.16%,
LISTED EQUITY,-,-,-,-,MEDIBANK PVT LTD.,-,MPL AU,-,,"131,878","$665,983",0.16%,
LISTED EQUITY,-,-,-,-,SIGMA HEALTHCARE LTD.,-,SIG AU,-,,"221,464","$662,179",0.16%,
LISTED EQUITY,-,-,-,-,ASX LTD.,-,ASX AU,-,,"9,308","$649,297",0.16%,
LISTED EQUITY,-,-,-,-,AMCOR PLC,-,AMC AU,-,,"45,669","$648,498",0.16%,
LISTED EQUITY,-,-,-,-,ABBOTT LABORATORIES,-,ABT US,-,,"2,997","$622,046",0.15%,
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"3,352","$618,000",0.15%,
LISTED EQUITY,-,-,-,-,"ADVANCED MICRO DEVICES, INC.",-,AMD US,-,,"2,812","$608,829",0.15%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"2,529","$608,223",0.15%,
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"1,211","$599,658",0.14%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"3,128","$591,904",0.14%,
LISTED EQUITY,-,-,-,-,"GOLDMAN SACHS GROUP, INC.",-,GS US,-,,546,"$588,914",0.14%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"5,567","$587,561",0.14%,
LISTED EQUITY,-,-,-,-,LINDE PLC,-,LIN US,-,,820,"$586,912",0.14%,
LISTED EQUITY,-,-,-,-,SONIC HEALTHCARE LTD.,-,SHL AU,-,,"21,878","$586,106",0.14%,
LISTED EQUITY,-,-,-,-,"INTUIT, INC.",-,INTU US,-,,487,"$584,978",0.14%,
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"14,255","$584,611",0.14%,
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"5,250","$579,330",0.14%,
LISTED EQUITY,-,-,-,-,HSBC HOLDINGS PLC,-,HSBA LN,-,,"30,898","$569,711",0.14%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"2,675","$566,150",0.14%,
LISTED EQUITY,-,-,-,-,LOTTERY CORP. LTD.,-,TLC AU,-,,"106,021","$565,092",0.14%,
LISTED EQUITY,-,-,-,-,"SERVICENOW, INC.",-,NOW US,-,,357,"$560,483",0.13%,
LISTED EQUITY,-,-,-,-,MCDONALD'S CORP.,-,MCD US,-,,"1,240","$553,182",0.13%,
LISTED EQUITY,-,-,-,-,"AT&T, INC.",-,T US,-,,"12,367","$546,152",0.13%,
LISTED EQUITY,-,-,-,-,RTX CORP.,-,RTX US,-,,"2,404","$535,565",0.13%,
LISTED EQUITY,-,-,-,-,"INTUITIVE SURGICAL, INC.",-,ISRG US,-,,643,"$532,997",0.13%,
LISTED EQUITY,-,-,-,-,SGH LTD.,-,SGH AU,-,,"9,767","$528,123",0.13%,
LISTED EQUITY,-,-,-,-,SIEMENS AG,-,SIE GR,-,,"1,351","$526,966",0.13%,
LISTED EQUITY,-,-,-,-,"MERCK & CO., INC.",-,MRK US,-,,"4,360","$526,716",0.13%,
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,58,"$511,907",0.12%,
LISTED EQUITY,-,-,-,-,"TEXAS INSTRUMENTS, INC.",-,TXN US,-,,"1,591","$504,325",0.12%,
LISTED EQUITY,-,-,-,-,"CATERPILLAR, INC.",-,CAT US,-,,836,"$495,167",0.12%,
LISTED EQUITY,-,-,-,-,ACCENTURE PLC,-,ACN US,-,,"1,081","$493,159",0.12%,
LISTED EQUITY,-,-,-,-,ROYAL BANK OF CANADA,-,RY CN,-,,"2,423","$486,248",0.12%,
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"7,303","$482,189",0.12%,
LISTED EQUITY,-,-,-,-,AMERICAN EXPRESS CO.,-,AXP US,-,,984,"$478,921",0.12%,
LISTED EQUITY,-,-,-,-,"PEPSICO, INC.",-,PEP US,-,,"2,367","$476,891",0.11%,
LISTED EQUITY,-,-,-,-,"UBER TECHNOLOGIES, INC.",-,UBER US,-,,"3,335","$474,726",0.11%,
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"1,939","$471,301",0.11%,
LISTED EQUITY,-,-,-,-,TOYOTA MOTOR CORP.,-,7203 JP,-,,"17,801","$468,800",0.11%,
LISTED EQUITY,-,-,-,-,NEWMONT CORP.,-,NEM AU,-,,"5,302","$462,919",0.11%,
LISTED EQUITY,-,-,-,-,ORICA LTD.,-,ORI AU,-,,"23,446","$456,954",0.11%,
LISTED EQUITY,-,-,-,-,MORGAN STANLEY,-,MS US,-,,"2,098","$450,944",0.11%,
LISTED EQUITY,-,-,-,-,NEXTDC LTD.,-,NXT AU,-,,"30,784","$446,364",0.11%,
LISTED EQUITY,-,-,-,-,"S&P GLOBAL, INC.",-,SPGI US,-,,554,"$445,486",0.11%,
LISTED EQUITY,-,-,-,-,"ADOBE, INC.",-,ADBE US,-,,754,"$444,688",0.11%,
LISTED EQUITY,-,-,-,-,UNILEVER PLC,-,ULVR LN,-,,"4,670","$432,066",0.10%,
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"3,307","$429,472",0.10%,
LISTED EQUITY,-,-,-,-,SONY GROUP CORP.,-,6758 JP,-,,"10,891","$429,146",0.10%,
LISTED EQUITY,-,-,-,-,BOEING CO.,-,BA US,-,,"1,335","$426,898",0.10%,
LISTED EQUITY,-,-,-,-,CHARLES SCHWAB CORP.,-,SCHW US,-,,"3,047","$424,223",0.10%,
