PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,BLANALKO PTY LTD AS TRUSTEE FOR THE BLANALKO SCT PROPERTY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CIRRUS HOLDINGS 2 PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CREDABL WAREHOUSE TRUST NO.1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CREDABL WAREHOUSE TRUST NO.2,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CX BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,DBG CONSOLIDATED HOLDINGS PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,DEVICE TECHNOLOGIES AUSTRALIA PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ENWERD PTY LTD AS TRUSTEE FOR THE N & W WERDIGER FAMILY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,FP TURBO WAREHOUSE TRUST 2021-1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,HARRIS FARM MARKETS FINANCE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,HIREPOOL FINANCE LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,JAYBRO GROUP,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,JNZ FINCO LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,KINETIC HOLDING COMPANY PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,KINETIC NZ HOLDINGS LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,LEGAL SOFTWARE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,METRO FINANCE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,MOTORONE BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,NEWCOLD FINANCING PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,NZ HEALTHCARE INVESTMENTS LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PAGAC CHICKEN TENDERS HOLDINGS I PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PEPPER MONEY LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PIRANHA BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PLENTI FINANCE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ROME NZ BIDCO LIMITED (RITCHIES TRANSPORT HOLDINGS LTD),-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,TEEG BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,VELOCITY FREQUENT FLYER PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,VESTONE CAPITAL PTY LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,VISY PACKAGING PROPERTIES PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,YHA PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ZEUSS CHILDCARE III PTY LTD,-,-,-,-,-,,,,,
SUB TOTAL FIXED INCOME (PRIVATE DEBT) INTERNALLY,,,,,,,,,,,"$78,838,104.00",2.92%,
FIXED INCOME,EXTERNALLY,-,-,BLACKROCK INVESTMENT MANAGEMENT (AUSTRALIA) LIMITED,-,-,-,-,,,"$251,154,299",9.24%,
FIXED INCOME,EXTERNALLY,-,-,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,-,-,-,-,,,"$32,845,584",1.21%,
FIXED INCOME,EXTERNALLY,-,-,"BAIN CAPITAL CREDIT, LP",-,-,-,-,,,"$19,282,143",0.71%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$303,282,026",11.16%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"393,450","$72,689,761",2.67%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"239,256","$57,679,250",2.12%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"66,611","$50,557,587",1.86%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"150,379","$47,079,153",1.73%,
LISTED EQUITY,-,-,-,-,WESTPAC BANKING CORP.,-,WBC AU,-,,"1,068,122","$36,166,617",1.33%,
LISTED EQUITY,-,-,-,-,CSL LTD.,-,CSL AU,-,,"134,074","$32,108,184",1.18%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"90,186","$30,191,523",1.11%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"84,688","$22,773,436",0.84%,
