PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCIEQU] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,AMPHENOL CORP.,-,APH US,-,,"25,034","$3,772,159",0.16%,
LISTED EQUITY,-,-,-,-,"BLACKSTONE, INC.",-,BX US,-,,"16,524","$3,771,434",0.16%,
LISTED EQUITY,-,-,-,-,AIR LIQUIDE SA,-,AI FP,-,,"11,851","$3,717,601",0.16%,
LISTED EQUITY,-,-,-,-,CONOCOPHILLIPS,-,COP US,-,,"27,042","$3,702,918",0.16%,
LISTED EQUITY,-,-,-,-,MEDTRONIC PLC,-,MDT US,-,,"27,572","$3,667,491",0.16%,
LISTED EQUITY,-,-,-,-,"VERTEX PHARMACEUTICALS, INC.",-,VRTX US,-,,"5,390","$3,661,584",0.16%,
LISTED EQUITY,-,-,-,-,SANOFI SA,-,SAN FP,-,,"24,784","$3,649,486",0.16%,
LISTED EQUITY,-,-,-,-,CHUBB LTD.,-,CB US,-,,"8,117","$3,588,239",0.15%,
LISTED EQUITY,-,-,-,-,"ARISTA NETWORKS, INC.",-,ANET US,-,,"22,759","$3,553,053",0.15%,
LISTED EQUITY,-,-,-,-,IBERDROLA SA,-,IBE SM,-,,"120,969","$3,529,682",0.15%,
LISTED EQUITY,-,-,-,-,UBS GROUP AG,-,UBSG SW,-,,"68,300","$3,515,422",0.15%,
LISTED EQUITY,-,-,-,-,"INTERCONTINENTAL EXCHANGE, INC.",-,ICE US,-,,"12,457","$3,487,405",0.15%,
LISTED EQUITY,-,-,-,-,"MARSH & MCLENNAN COS., INC.",-,MMC US,-,,"10,309","$3,439,326",0.15%,
LISTED EQUITY,-,-,-,-,L'OREAL SA,-,OR FP,-,,"5,227","$3,399,479",0.14%,
LISTED EQUITY,-,-,-,-,UNICREDIT SPA,-,UCG IM,-,,"32,590","$3,322,079",0.14%,
LISTED EQUITY,-,-,-,-,LOCKHEED MARTIN CORP.,-,LMT US,-,,"4,699","$3,320,612",0.14%,
LISTED EQUITY,-,-,-,-,STARBUCKS CORP.,-,SBUX US,-,,"23,663","$3,308,480",0.14%,
LISTED EQUITY,-,-,-,-,NINTENDO CO. LTD.,-,7974 JP,-,,"22,503","$3,299,570",0.14%,
LISTED EQUITY,-,-,-,-,INTEL CORP.,-,INTC US,-,,"96,311","$3,291,926",0.14%,
LISTED EQUITY,-,-,-,-,CONSTELLATION ENERGY CORP.,-,CEG US,-,,"6,669","$3,284,362",0.14%,
LISTED EQUITY,-,-,-,-,"MICROSTRATEGY, INC.",-,MSTR US,-,,"5,323","$3,283,066",0.14%,
LISTED EQUITY,-,-,-,-,"CME GROUP, INC.",-,CME US,-,,"7,753","$3,260,594",0.14%,
LISTED EQUITY,-,-,-,-,CIE FINANCIERE RICHEMONT SA,-,CFR SW,-,,"11,306","$3,239,102",0.14%,
LISTED EQUITY,-,-,-,-,"FISERV, INC.",-,FI US,-,,"12,312","$3,239,067",0.14%,
LISTED EQUITY,-,-,-,-,AIA GROUP LTD.,-,1299 HK,-,,"235,677","$3,225,126",0.14%,
LISTED EQUITY,-,-,-,-,"ENBRIDGE, INC.",-,ENB CN,-,,"46,625","$3,219,630",0.14%,
LISTED EQUITY,-,-,-,-,ABB LTD.,-,ABBN SW,-,,"35,189","$3,191,358",0.14%,
LISTED EQUITY,-,-,-,-,ZURICH INSURANCE GROUP AG,-,ZURN SW,-,,"2,991","$3,180,341",0.14%,
LISTED EQUITY,-,-,-,-,TRANE TECHNOLOGIES PLC,-,TT US,-,,"4,731","$3,157,719",0.13%,
LISTED EQUITY,-,-,-,-,RELX PLC,-,REL LN,-,,"38,313","$3,154,029",0.13%,
LISTED EQUITY,-,-,-,-,"DOORDASH, INC.",-,DASH US,-,,"8,129","$3,057,636",0.13%,
LISTED EQUITY,-,-,-,-,BNP PARIBAS SA,-,BNP FP,-,,"22,133","$3,025,590",0.13%,
LISTED EQUITY,-,-,-,-,"MONDELEZ INTERNATIONAL, INC.",-,MDLZ US,-,,"29,233","$3,008,300",0.13%,
LISTED EQUITY,-,-,-,-,BRISTOL-MYERS SQUIBB CO.,-,BMY US,-,,"42,370","$2,992,761",0.13%,
LISTED EQUITY,-,-,-,-,MCKESSON CORP.,-,MCK US,-,,"2,661","$2,975,738",0.13%,
LISTED EQUITY,-,-,-,-,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",-,8316 JP,-,,"77,211","$2,964,087",0.13%,
LISTED EQUITY,-,-,-,-,"WASTE MANAGEMENT, INC.",-,WM US,-,,"8,394","$2,930,901",0.12%,
LISTED EQUITY,-,-,-,-,BANCO BILBAO VIZCAYA ARGENTARIA SA,-,BBVA SM,-,,"124,864","$2,919,808",0.12%,
LISTED EQUITY,-,-,-,-,PARKER-HANNIFIN CORP.,-,PH US,-,,"2,710","$2,888,110",0.12%,
LISTED EQUITY,-,-,-,-,CIGNA GROUP,-,CI US,-,,"5,690","$2,870,121",0.12%,
LISTED EQUITY,-,-,-,-,"ELEVANCE HEALTH, INC.",-,ELV US,-,,"4,792","$2,843,941",0.12%,
LISTED EQUITY,-,-,-,-,BAE SYSTEMS PLC,-,BA LN,-,,"71,425","$2,817,493",0.12%,
LISTED EQUITY,-,-,-,-,CVS HEALTH CORP.,-,CVS US,-,,"26,726","$2,813,044",0.12%,
LISTED EQUITY,-,-,-,-,"CADENCE DESIGN SYSTEMS, INC.",-,CDNS US,-,,"5,920","$2,783,411",0.12%,
LISTED EQUITY,-,-,-,-,BROOKFIELD CORP.,-,BN CN,-,,"29,413","$2,772,164",0.12%,
LISTED EQUITY,-,-,-,-,BP PLC,-,BP LN,-,,"360,170","$2,754,168",0.12%,
