PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGINDX] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"13,514","$6,550,559",0.69%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"23,085","$6,248,612",0.66%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"13,006","$5,753,526",0.61%,
LISTED EQUITY,-,-,-,-,WOODSIDE ENERGY GROUP LTD.,-,WDS AU,-,,"241,164","$5,698,713",0.60%,
LISTED EQUITY,-,-,-,-,RIO TINTO LTD.,-,RIO AU,-,,"47,243","$5,061,110",0.53%,
LISTED EQUITY,-,-,-,-,WOOLWORTHS GROUP LTD.,-,WOW AU,-,,"154,845","$4,817,223",0.51%,
LISTED EQUITY,-,-,-,-,ARISTOCRAT LEISURE LTD.,-,ALL AU,-,,"71,365","$4,650,886",0.49%,
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"191,523","$4,479,725",0.47%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"3,745","$4,455,209",0.47%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"8,043","$4,357,562",0.46%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,"2,002","$4,091,107",0.43%,
LISTED EQUITY,-,-,-,-,BRAMBLES LTD.,-,BXB AU,-,,"174,400","$4,084,439",0.43%,
LISTED EQUITY,-,-,-,-,COLES GROUP LTD.,-,COL AU,-,,"170,851","$3,560,528",0.38%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"19,786","$3,557,567",0.38%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"3,896","$3,340,821",0.35%,
