PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCAEQU] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,AUCKLAND INTERNATIONAL AIRPORT LTD.,-,AIA AU,-,,"230,759","$1,638,386",0.11%,
LISTED EQUITY,-,-,-,-,WESTGOLD RESOURCES LTD.,-,WGX AU,-,,"549,388","$1,576,743",0.11%,
LISTED EQUITY,-,-,-,-,ARB CORP. LTD.,-,ARB AU,-,,"47,255","$1,545,228",0.10%,
LISTED EQUITY,-,-,-,-,VAULT MINERALS LTD.,-,VAU AU,-,,"3,645,640","$1,531,169",0.10%,
LISTED EQUITY,-,-,-,-,WEST AFRICAN RESOURCES LTD.,-,WAF AU,-,,"665,216","$1,510,041",0.10%,
LISTED EQUITY,-,-,-,-,ORORA LTD.,-,ORA AU,-,,"760,599","$1,437,532",0.10%,
LISTED EQUITY,-,-,-,-,VIVA ENERGY GROUP LTD.,-,VEA AU,-,,"658,783","$1,422,972",0.10%,
LISTED EQUITY,-,-,-,-,SIMS LTD.,-,SGM AU,-,,"92,235","$1,414,884",0.10%,
LISTED EQUITY,-,-,-,-,DYNO NOBEL LTD.,-,DNL AU,-,,"524,531","$1,410,988",0.09%,
LISTED EQUITY,-,-,-,-,EAGERS AUTOMOTIVE LTD.,-,APE AU,-,,"80,410","$1,403,147",0.09%,
LISTED EQUITY,-,-,-,-,MEGAPORT LTD.,-,MP1 AU,-,,"94,896","$1,370,294",0.09%,
LISTED EQUITY,-,-,-,-,ALCOA CORP.,-,AAI AU,-,,"29,992","$1,349,659",0.09%,
LISTED EQUITY,-,-,-,-,FLIGHT CENTRE TRAVEL GROUP LTD.,-,FLT AU,-,,"106,509","$1,329,231",0.09%,
LISTED EQUITY,-,-,-,-,AUSTAL LTD.,-,ASB AU,-,,"208,624","$1,310,156",0.09%,
