Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Equity,-,Sandfire Resources,2992844.0,0.2,SFR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.20105572589193013
Equity,-,Life360,2929499.0,0.2,360 AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.1968002835913544
Equity,-,Bluescope Steel,2861753.0,0.19,BSL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.192249187307594
Equity,-,Perseus Mining,2721865.0,0.18,PRU AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.1828516766509843
Equity,-,Ansell,2605203.0,0.18,ANN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.1750144612485095
Equity,-,Genesis Minerals,2516239.0,0.17,GMD AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.16903796477951555
Equity,-,Downer Group,2413300.0,0.16,DOW AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.16212264431256526
Equity,-,Challenger,2406249.0,0.16,CGF AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.16164896645856952
Equity,-,Ventia Services,2392282.0,0.16,VNT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.16071067989116655
Equity,-,Metcash,2384592.0,0.16,MTS AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.16019407477171865
Equity,-,Aub,2325147.0,0.16,AUB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.15620062986592143
Equity,-,Pilbara Minerals,2290048.0,0.15,PLS AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.15384272049173392
Equity,-,Netwealth,2278183.0,0.15,NWL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.15304564380223465
Equity,-,Zip,2189053.0,0.15,ZIP AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.14705799564925784
Equity,-,Light & Wonder,2179017.0,0.15,LNW AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.14638378902002777
Equity,-,Mineral Resources,2129784.0,0.14,MIN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.14307637421563524
Equity,-,Gold Road Resources,2121827.0,0.14,GOR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.14254183235146786
Equity,-,Pinnacle Investment Management,2078926.0,0.14,PNI AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.13965979383008498
Equity,-,Capricorn Metals,2069745.0,0.14,CMM AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.13904302509124866
Equity,-,Nib,2012824.0,0.14,NHF AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.13521913952504655
Equity,-,Regis Resources,1919050.0,0.13,RRL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.12891951293582576
Equity,-,Reliance Worldwide,1882352.0,0.13,RWC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.12645418462977906
Equity,-,Reece,1815134.0,0.12,REH AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.1219385587625425
Equity,-,Paladin Energy,1793842.0,0.12,PDN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.12050818734469014
Equity,-,Amp,1777426.0,0.12,AMP AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.11940537984913006
Equity,-,Breville,1749932.0,0.12,BRG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.11755836539476068
Equity,-,Igo,1714295.0,0.12,IGO AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.11516431381585757
Equity,-,Ramelius Resources,1679039.0,0.11,RMS AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.11279585736705974
Equity,-,Harvey Norman,1643879.0,0.11,HVN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.11043385008490261
Equity,-,Auckland Airport,1638386.0,0.11,AIA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.11006483683117993
Equity,-,Westgold Resources,1576743.0,0.11,WGX AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.10592373288083831
Equity,-,Arb,1545228.0,0.1,ARB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.10380659239457032
Equity,-,Vault Minerals,1531169.0,0.1,VAU AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.10286212537580335
Equity,-,West African Resources,1510041.0,0.1,WAF AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.1014427712842955
Equity,-,Orora,1437532.0,0.1,ORA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.09657170228480941
Equity,-,Viva Energy,1422972.0,0.1,VEA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.09559357867763627
Equity,-,Sims,1414884.0,0.1,SGM AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.09505023638815713
Equity,-,Dyno Nobel,1410988.0,0.09,DNL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.0947885077086553
Equity,-,Eagers Automotive,1403147.0,0.09,APE AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.09426175858751212
Equity,-,Megaport,1370294.0,0.09,MP1 AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.09205473284118937
Equity,-,Alcoa,1349659.0,0.09,AAI AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.0906684979075343
Equity,-,Flight Centre Travel,1329231.0,0.09,FLT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.08929616898944823
Equity,-,Austal,1310156.0,0.09,ASB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.08801473301370458
Equity,-,Super Retail,1273514.0,0.09,SUL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.08555316672153161
Equity,-,Lovisa,1236805.0,0.08,LOV AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.08308709944847398
Equity,-,Codan,1222338.0,0.08,CDA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.08211522347148402
Equity,-,Droneshield,1199028.0,0.08,DRO AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.08054928519653856
Equity,-,Nine Entertainment,1187776.0,0.08,NEC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.07979338912319293
Equity,-,Boss Energy,1180125.0,0.08,BOE AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.07927940397769281
Equity,-,Emerald Resources Nl,1176632.0,0.08,EMR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.0790447483623181
Equity,-,Beach Energy,1164243.0,0.08,BPT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.07821246997157168
Equity,-,Temple & Webster,1156727.0,0.08,TPW AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.07770755396666004
Equity,-,Pexa,1134195.0,0.08,PXA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.07619388081303193
Equity,-,Insignia Financial,1127888.0,0.08,IFL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.07577018400050163
Equity,-,Premier Investments,1076243.0,0.07,PMV AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.07230073388426146
Equity,-,Perpetual,1066074.0,0.07,PPT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.07161759247208126
Equity,-,Spartan Resources,1041831.0,0.07,SPR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06998897635884647
Equity,-,Chorus,1041516.0,0.07,CNU AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06996781503080665
Equity,-,Tabcorp,991900.0,0.07,TAH AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06663467073867048
Equity,-,Monadelphous,980932.0,0.07,MND AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06589785344997028
Equity,-,Mesoblast,980176.0,0.07,MSB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06584706626267475
Equity,-,Corporate Travel Management,977340.0,0.07,CTD AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06565654713149734
Equity,-,Helia,971286.0,0.07,HLI AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06524984656021807
Equity,-,Deterra Royalties,971280.0,0.07,DRR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06524944348730302
Equity,-,Graincorp,962066.0,0.06,GNC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06463045784743397
Equity,-,Neuren Pharmaceuticals,957674.0,0.06,NEU AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06433540847362185
Equity,-,Bapcor,941931.0,0.06,BAP AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06327781232336589
Equity,-,Deep Yellow,939827.0,0.06,DYL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06313646808782383
Equity,-,Web Travel,928920.0,0.06,WEB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06240374870709325
Equity,-,Magellan Financial,918876.0,0.06,MFG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.061729004647309786
Equity,-,Evt,917053.0,0.06,EVT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.06160653765995563
Equity,-,Iluka Resources,897093.0,0.06,ILU AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.060265648429242986
Equity,-,Champion Iron,893046.0,0.06,CIA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.059993775748045895
Equity,-,Iperionx,880871.0,0.06,IPX AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.059175873624602686
Equity,-,Iress,876525.0,0.06,IRE AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05888391447647258
Equity,-,Bega Cheese,863687.0,0.06,BGA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05802147279591702
Equity,-,Superloop,853555.0,0.06,SLC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05734081700004626
Equity,-,Nick Scali,847409.0,0.06,NCK AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05692793597740298
Equity,-,Inghams,835491.0,0.06,ING AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05612729881048749
Equity,-,Adriatic Metals,827545.0,0.06,ADT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05559349591333104
Equity,-,Southern Cross Gold Consolidated,812738.0,0.05,SX2 AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05459877913782193
Equity,-,Imdex,806060.0,0.05,IMD AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05415015898337809
Equity,-,Karoon Energy,785729.0,0.05,KAR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05278434641075191
