HC SRI Defensive - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Portfolio Holdings Information for Investment Option HC SRI Defensive - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
DAI-ICHI LIFE HOLDINGS INC,JP3476480003,212.06,"2,455",0.01%
DAIICHI SANKYO CO LTD NPV,JP3475350009,38.6,"1,372",0.01%
DANAHER CORP COM USD0.01,US2358511028,8.53,"2,571",0.01%
DANSKE BANK A/S DANSKE BANK A/S,DK0010274414,17.02,"1,056",0.01%
DATADOG INC - CLASS A DDOG,US23804L1035,10.11,"2,073",0.01%
DAVITA INC,US23918K1088,7.37,"1,602",0.01%
DEERE & CO COM USD1,US2441991054,2.91,"2,260",0.01%
DELL TECHNOLOGIES -C W/I,US24703L2025,20.39,"3,815",0.02%
DEMANT A/S,DK0060738599,17.01,"1,079",0.01%
DENSO CORP NPV,JP3551500006,109.63,"2,259",0.01%
DETERRA ROYALTIES LTD,AU0000107484,"2,425.44","9,120",0.04%
DEUTSCHE BANK AG-REGISTERED ORD NPV(REGD),DE0005140008,33.47,"1,509",0.01%
DEUTSCHE TELEKOM AG-REG DTE,DE0005557508,87.61,"4,860",0.02%
DEXCOM INC COM USD0.001,US2521311074,21.94,"2,922",0.01%
DEXUS DXS,AU000000DXS1,714.43,"4,751",0.02%
DIGITAL REALTY TRUST INC COM STK USD0.01,US2538681030,5.54,"1,475",0.01%
DOORDASH INC - A,US25809K1051,5.95,"2,238",0.01%
DYNATRACE INC DT,US2681501092,12.38,"1,043",0.00%
EAST JAPAN RAILWAY CO NPV,JP3783600004,98.82,"3,245",0.02%
EDP RENOVAVEIS SA EUR5,ES0127797019,48.21,818,0.00%
EDWARDS LIFESCIENCES CORP COM STK USD1,US28176E1082,12.72,"1,518",0.01%
EISAI CO LTD,JP3160400002,22.65,992,0.00%
ELECTRONIC ARTS INC COM USD0.01,US2855121099,4.32,"1,052",0.01%
ELEVANCE HEALTH INC ANTM,US0367521038,5.82,"3,452",0.02%
ELI LILLY & CO COM STK NPV,US5324571083,12.04,"14,320",0.07%
ELISA OYJ SER'A'SHS NPV,FI0009007884,19.94,"1,682",0.01%
EQUINIX INC EQIX,US29444U7000,0.82,993,0.00%
EQUITABLE HOLDINGS INC,US29452E1010,56.38,"4,826",0.02%
EQUITY RESIDENTIAL SBI USD0.01,US29476L1070,7.66,789,0.00%
ESSEX PROPERTY TRUST INC COM USD0.0001,US2971781057,5.37,"2,321",0.01%
ESSILORLUXOTTICA EI,FR0000121667,3.07,"1,282",0.01%
EVEREST GROUP LTD,BMG3223R1088,4.02,"2,085",0.01%
EVOLUTION MINING LTD,AU000000EVN4,"1,140.61","8,885",0.04%
F5 INC,US3156161024,5.72,"2,568",0.01%
FAIR ISAAC CORP COM USD0.01,US3032501047,0.29,818,0.00%
FAIRFAX FINANCIAL HLDGS LTD FRFHF,CA3039011026,0.34,934,0.00%
FAST RETAILING CO LTD NPV,JP3802300008,1.54,808,0.00%
FASTENAL CO COM USD0.01,US3119001044,20.64,"1,323",0.01%
FERRARI NV RACE,NL0011585146,1.34,"1,001",0.00%
FIRST SOLAR INC COM STK USD0.001,US3364331070,12.79,"3,230",0.02%
FISERV INC,US3377381088,9.56,"2,516",0.01%
FISHER & PAYKEL HEALTHCARE C NPV,NZFAPE0001S2,631.97,"21,253",0.10%
FLETCHER BUILDING LTD NPV,NZFBUE0001S0,559.59,"1,511",0.01%
FORTINET INC COM USD0.001,US34959E1091,32.95,"5,315",0.03%
FOX CORP- CLASS B,US35137L2043,24.94,"1,965",0.01%
FRESENIUS MEDICAL CARE AG,DE0005785802,16.12,"1,405",0.01%
FRESENIUS SE & CO KGAA FRE,DE0005785604,18.35,"1,403",0.01%
FUJIFILM HOLDINGS CORP NPV,JP3814000000,30.88,"1,025",0.00%
FUJIKURA LIMITED SHS,JP3811000003,14.41,"1,153",0.01%
