HC SRI - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Table 1 - Assets HC SRI - Class A Option - Assets,,,,
Portfolio Holdings Information for Investment Option HC SRI - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
CHIPOTLE MEXICAN GRILL INC COM USD0.01,US1696561059,"1,629.25","139,593",0.02%
CHORUS LTD NPV,NZCNUE0001S2,"32,472.51","253,610",0.04%
CHUBB LTD,CH0044328745,"1,709.39","755,693",0.12%
CIE FINANCIERE RICHEMON-REG CHF1.00 (REG) SER 'A',CH0210483332,364.94,"104,551",0.02%
CIGNA CORP,US1255231003,591.51,"298,378",0.05%
CINTAS CORP COM,US1729081059,673.38,"229,001",0.04%
CISCO SYSTEMS INC COM USD0.001,US17275R1023,"9,246.83","978,935",0.16%
CITIZENS FINANCIAL GROUP CFG,US1746101054,"1,541.04","105,229",0.02%
CLEANAWAY WASTE MANAGEMENT L CWY,AU000000CWY3,"618,829.68","1,683,217",0.27%
CLOUDFLARE INC - CLASS A NET,US18915M1071,664.73,"198,633",0.03%
CME GROUP INC CME,US12572Q1058,857.86,"360,791",0.06%
COCHLEAR LIMITED NPV,AU000000COH5,"10,456.83","3,141,440",0.50%
COGNIZANT TECH SOLUTIONS-A COM CL'A'USD0.01,US1924461023,"1,271.23","151,360",0.02%
COINBASE GLOBAL INC -CLASS A,US19260Q1076,268.08,"143,374",0.02%
COLGATE-PALMOLIVE CO COM USD1,US1941621039,"4,896.97","679,232",0.11%
COMCAST CORP-CLASS A COM CLS'A' USD0.01,US20030N1019,"10,007.84","545,021",0.09%
COMMERZBANK AG NPV,DE000CBK1001,"4,893.51","234,731",0.04%
COMMONWEALTH BANK OF AUSTRAL NPV,AU000000CBA7,"94,881.18","17,529,299",2.79%
COMPUTERSHARE LTD NPV(POST REC),AU000000CPU5,"39,529.94","1,576,849",0.25%
CONCORDIA FINANCIAL GROUP LTD,JP3305990008,"25,943.47","256,853",0.04%
CONSTELLATION SOFTWARE INC COM STK NPV,CA21037X1006,27.67,"154,521",0.02%
CONTINENTAL AG NPV,DE0005439004,"1,235.49","163,982",0.03%
COOPER COS INC/THE,US2166485019,"1,596.96","173,404",0.03%
COREBRIDGE FINANCIAL INC,US21871X1090,"2,476.74","134,164",0.02%
CORNING INC COM USD0.50,US2193501051,"1,645.39","132,038",0.02%
CORPAY INC,US2199481068,657.81,"333,066",0.05%
COVIVIO,FR0000064578,"4,473.81","429,117",0.07%
CRH PLC,IE0001827041,"2,926.42","409,927",0.07%
CROWDSTRIKE HOLDINGS INC - A CRWD,US22788C1053,946.65,"735,695",0.12%
CSL LTD,AU000000CSL8,"37,124.05","8,890,467",1.42%
CVS HEALTH CORP CVS,US1266501006,"1,157.08","121,790",0.02%
CYBER-ARK SOFTWARE LTD/ISRAE CYBR,IL0011334468,496.39,"308,185",0.05%
DAI-ICHI LIFE HOLDINGS INC,JP3476480003,"23,752.69","275,009",0.04%
DAIICHI SANKYO CO LTD NPV,JP3475350009,"4,323.91","153,704",0.02%
