Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARHG,High Growth,Equity,Listed,,Fortescue Metals Group Ltd,Name,,,6086253,841518,Australia,,,12858392.0,0.03,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fortinet Inc,Name,,,B5B2106,189798,United States,,,30617951.0,0.07,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fortis Inc,Name,,,2347200,6359,Canada,,,462389.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fortive Corp,Name,,,BYT3MK1,13693,United States,,,1089216.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fortum Oyj,Name,,,5579550,8801,Finland,,,250485.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fox Corp,Name,,,BJJMGL2,364124,United States,,,31136838.0,0.07,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fox Corp,Name,,,BJJMGY5,16330,United States,,,1286530.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fox Wizel Ltd,Name,,,6541741,766,Israel,,,117077.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Foxsemicon Integrated Technology Inc,Name,,,B04ZR54,102883,Taiwan,,,1598800.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Franco-Nevada Corp,Name,,,B29NF31,3343,Canada,,,835903.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Franco-Nevada Corp,Name,,,B29VF02,22295,Canada,,,5576668.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fraser Papers Inc,Name,,,B01R8D8,9839,Canada,,,0.0,,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Freeport-McMoRan Inc,Name,,,2352118,51192,United States,,,3386273.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fresenius Medical Care Ag & Co Kgaa,Name,,,5129074,14520,Germany,,,1265258.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fresenius Se & Co Kgaa,Name,,,4352097,8680,Germany,,,663548.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Freshpet Inc,Name,,,BS7K7M9,61336,United States,,,6360568.0,0.02,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fresnillo Plc,Name,,,B2QPKJ1,6739,United Kingdom,,,202910.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Frontline Ltd,Name,,,BMHDM54,8345,Bermuda,,,209446.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fufeng Group Ltd,Name,,,B1P1JS5,763206,China,,,1022158.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fuji Electric Co Ltd,Name,,,6356365,9654,Japan,,,678591.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fuji Media Holdings Inc,Name,,,6036582,1876,Japan,,,65960.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fujifilm Holdings Corp,Name,,,6356525,5806,Japan,,,192715.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fujikura Ltd,Name,,,6356707,40201,Japan,,,3215280.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fujitec Co Ltd,Name,,,6356826,1034,Japan,,,67724.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fujitsu Ltd,Name,,,6356945,21900,Japan,,,813210.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Fukuoka Financial Group Inc,Name,,,B1TK1Y8,3600,Japan,,,146662.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Equity,Listed,,Furukawa Electric Co Ltd,Name,,,6357562,3655,Japan,,,271527.0,0.0,,,,,,,nan,nan
