Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARIS,International Shares,Equity,Listed,,Block Inc,Name,,,BYNZGK1,4117,United States,,,426700.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bnk Financial Group Inc,Name,,,B3S98W7,38013,South Korea,,,535090.0,0.01,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,BNP Paribas SA,Name,,,7309681,273621,France,,,37404834.0,0.42,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Boc Hong Kong Holdings Ltd,Name,,,6536112,559953,Hong Kong,,,3711617.0,0.04,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Boeing Co,Name,,,2108601,1397,United States,,,446654.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Boliden AB,Name,,,BPYTZ57,4896,Sweden,,,231343.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bollore SE,Name,,,4572709,7748,France,,,73972.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bombardier Inc,Name,,,BN33PL2,838,Canada,,,111206.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Booking Holdings Inc,Name,,,BDRXDB4,10208,United States,,,90175238.0,1.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Borregaard Asa,Name,,,B8B6WX9,1688,Norway,,,50505.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Boston Scientific Corp,Name,,,2113434,186728,United States,,,30604186.0,0.34,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bouygues Sa,Name,,,4002121,46685,France,,,3211032.0,0.04,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bp Plc,Name,,,0798059,775783,United Kingdom,,,5932303.0,0.07,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bp Plc,Name,,,2142621,25714,United Kingdom,,,1174370.0,0.01,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,BPER Banca SPA,Name,,,4116099,97481,Italy,,,1347259.0,0.02,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Brazilian Electric Power Co,Name,,,2311120,314447,Brazil,,,3535857.0,0.04,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Brenntag Se,Name,,,B4YVF56,7183,Germany,,,723030.0,0.01,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bridgestone Corp,Name,,,6132101,10318,Japan,,,643096.0,0.01,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bristol-Myers Squibb Co,Name,,,2126335,391827,United States,,,27676343.0,0.31,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Broadcom Inc,Name,,,BDZ78H9,161099,United States,,,67760767.0,0.75,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Broadridge Financial Solutions Inc,Name,,,B1VP7R6,5538,United States,,,2053721.0,0.02,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Brookfield Asset Management Ltd,Name,,,BPCPYH2,3964,Canada,,,334072.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Brookfield Corp,Name,,,BPCPYT4,6606,Canada,,,622577.0,0.01,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Brookfield Renewable Corp,Name,,,BSPS5J8,269,United States,,,13437.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Brother Industries Ltd,Name,,,6146500,8624,Japan,,,226929.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Brown & Brown Inc,Name,,,2692687,20393,United States,,,3449997.0,0.04,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bruker Corp,Name,,,2616137,49596,United States,,,3117932.0,0.03,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bt Group Plc,Name,,,3091357,334622,United Kingdom,,,1355673.0,0.02,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Budweiser Brewing Company Apac Ltd,Name,,,BKDXJH5,23281,Hong Kong,,,35163.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Builders FirstSource Inc,Name,,,B0BV2M7,28520,United States,,,5078208.0,0.06,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bunge Global SA,Name,,,BQ6BPG9,80383,United States,,,9846866.0,0.11,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bunzl Plc,Name,,,B0744B3,3118,United Kingdom,,,151277.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bure Equity Ab,Name,,,4152651,4278,Sweden,,,194924.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Bureau Veritas Sa,Name,,,B28DTJ6,13728,France,,,711638.0,0.01,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Burlington Stores Inc,Name,,,BF311Y5,5894,United States,,,2092235.0,0.02,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,BW LPG Ltd,Name,,,BT5GCN2,2162,Norway,,,38785.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,BW LPG Ltd,Name,,,BT5F7D4,3693,Singapore,,,66657.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Byd Co Ltd,Name,,,6536651,232261,China,,,5530554.0,0.06,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Cadeler A/S,Name,,,BMYDHR4,2030,Denmark,,,15317.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Cadeler A/S,Name,,,BSBH0Q1,98,Denmark,,,2984.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Cadence Design Systems Inc,Name,,,2302232,13460,United States,,,6328994.0,0.07,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Cae Inc,Name,,,2162760,5050,Canada,,,225399.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,CaixaBank SA,Name,,,B283W97,2622411,Spain,,,34543289.0,0.38,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Calbee Inc,Name,,,B3TBRZ8,2976,Japan,,,86286.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Equity,Listed,,Cameco Corp,Name,,,2158684,136,Canada,,,15416.0,0.0,,,,,,,nan,nan
