Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARAS,Australian Shares,Fixed Income,All Assets,,National Australia Bank Ltd/London,Name of Issuer/Counterparty,,Corporate,,,,,,-1072.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Norfina Ltd,Name of Issuer/Counterparty,,Corporate,,,,,,1240070.0,0.01,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Oversea-Chinese Banking Corp Ltd/Sydney,Name of Issuer/Counterparty,,Corporate,,,,,,2210628.0,0.03,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Royal Bank of Canada/Sydney,Name of Issuer/Counterparty,,Corporate,,,,,,6254103.0,0.07,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Skandinaviska Enskilda Banken AB,Name of Issuer/Counterparty,,Corporate,,,,,,-139.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Standard Chartered Bank/Australia,Name of Issuer/Counterparty,,Corporate,,,,,,1383280.0,0.02,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Sumitomo Mitsui Banking Corp,Name of Issuer/Counterparty,,Corporate,,,,,,-2710.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Sumitomo Mitsui Banking Corp/Sydney,Name of Issuer/Counterparty,,Corporate,,,,,,2763942.0,0.03,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,UBS AG/London,Name of Issuer/Counterparty,,Corporate,,,,,,-1004.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Westpac Banking Corp,Name of Issuer/Counterparty,,Corporate,,,,,,28956179.0,0.34,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Commonwealth of Australia,Name of Issuer/Counterparty,,Government,,,,,,3793153.0,0.04,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Agence Centrale des Organismes de Securite Sociale,Name of Issuer/Counterparty,,Semi Government,,,,,,-1627.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Export-Import Bank of Korea,Name of Issuer/Counterparty,,Semi Government,,,,,,-542.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,NBN Co Ltd,Name of Issuer/Counterparty,,Semi Government,,,,,,3051967.0,0.04,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,European Investment Bank,Name of Issuer/Counterparty,,Supranational,,,,,,-110.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,Externally Managed,,IFM Investors,Name of Fund Manager,,,,,,,,592182.0,0.01,,,,,,,nan,nan
